city,tod,slope_C_per_decade,intercept,r_squared,p_value
dar,day,-1.3531096348748803,304.8891536421295,0.5564799004092946,0.14769430733111763
dar,night,0.6709660863111672,-112.44963514740336,0.7734109757732991,0.04933284966163899
sgp,day,-0.7574471391204654,185.2211754248475,0.22642677646170917,0.41784880702402183
sgp,night,0.6075359323330168,-97.16436193588336,0.7887537465533351,0.04416188761677177
