index,r,r_squared,p_value,slope,intercept,city
NDVI,-0.36443656975118216,0.13281401337200827,1.3027006969406833e-171,-6.477946452221729,36.48987623585863,Dar es Salaam
NDBI,0.3035095299368995,0.09211803476251769,4.980581748835689e-117,8.32589942855854,33.61460204537501,Dar es Salaam
NDWI,0.3165250851853964,0.10018812955162246,1.1691400584338007e-127,6.727324046559931,36.59368858804377,Dar es Salaam
NDVI,-0.2877744710096285,0.08281414616487151,1.598694804460021e-171,-4.264091451938432,40.285523258085156,Singapore
NDBI,0.5752989444442406,0.3309688754786574,0.0,15.159935075167082,39.59492349803163,Singapore
NDWI,0.12390644029116793,0.015352805945628763,3.420327686488094e-32,1.9382489661666484,39.37011887996581,Singapore
