city,year,max_uhi_intensity,std_dev,thermal_spread
Dar es Salaam,2020,7.584204985947345,1.6366333205036732,12.490000000000009
Dar es Salaam,2025,4.5722782786436476,1.321859540107681,8.279999999999973
Singapore,2020,6.4419268796445195,2.7375176594743165,12.579999999999984
Singapore,2025,4.2527030419059955,1.7026987572703836,7.960000000000008
