LST,NDBI,NDVI,NDWI,city
34.14534223999999,0.08640365177698077,0.41016607951685957,-0.39890164752870694,Dar es Salaam
35.41000964,-0.09124509124509124,0.6853371387798787,-0.5809906291834003,Dar es Salaam
30.693142039999998,-0.0950305143853531,0.6597291047241494,-0.597456279809221,Dar es Salaam
33.38654180000003,0.004020908725371934,0.5313755795981453,-0.5554160125588697,Dar es Salaam
38.65029260000006,0.10341093665403357,0.12195121951219512,-0.15440920181247822,Dar es Salaam
26.03779880000002,0.00128493414712496,0.5611348229977404,-0.5247670426679745,Dar es Salaam
38.14442564000001,0.0853756206951786,0.41722511789525935,-0.44301238311852414,Dar es Salaam
38.80752152000002,0.053203387122543536,0.47486311597809855,-0.4930713025951121,Dar es Salaam
33.99494936000002,0.044140625,0.5546378653113088,-0.5506970849176173,Dar es Salaam
31.465614560000006,0.07055702917771883,0.2658959537572254,-0.3350266700533401,Dar es Salaam
29.319098000000054,0.03046197296752068,0.5428571428571428,-0.5374280230326296,Dar es Salaam
33.68732756000003,-0.03333983232598947,0.4580467675378267,-0.49506346967559944,Dar es Salaam
31.670695760000058,-0.27380952380952384,0.8262218774243599,-0.7207602339181286,Dar es Salaam
26.755583,-0.06481078729882557,0.623342175066313,-0.5896103896103896,Dar es Salaam
33.50959052000002,-0.08420737189092,0.5311045281421921,-0.5006221484861053,Dar es Salaam
35.59800074000003,-0.04490209318028359,0.5978316985028395,-0.5615539858728557,Dar es Salaam
32.97979742000001,-0.010855075223766901,0.5685579196217494,-0.5543191800878478,Dar es Salaam
34.45638206000001,0.12643678160919541,0.31242556570067487,-0.3602139477473771,Dar es Salaam
31.85185081999998,-0.06952128939138802,0.5010128291694801,-0.42958199356913185,Dar es Salaam
27.15207332,0.04942549699069852,0.46734234234234234,-0.47273241028539137,Dar es Salaam
34.42561988,0.023249299719887956,0.29869646182495346,-0.37121510027526544,Dar es Salaam
32.86700275999999,0.004492641363284275,0.5292717753450737,-0.5238321081337444,Dar es Salaam
36.679804070000046,-0.051174649426334,0.5975643509548851,-0.5857142857142857,Dar es Salaam
39.66202652000004,0.05574280528908478,0.18055105348460293,-0.2810411537108688,Dar es Salaam
33.44123012,0.08183977542647376,0.4201736806947228,-0.468232044198895,Dar es Salaam
33.530098640000006,0.06540319583797845,0.45291738879260546,-0.4634855979051498,Dar es Salaam
34.81185614000003,-0.06269961338040007,0.5952561191016906,-0.5722457100223824,Dar es Salaam
31.848432800000012,0.0378642470772989,0.2877160205511443,-0.37884471117779445,Dar es Salaam
40.24308991999999,-0.06595092024539877,0.6706730769230769,-0.5928189457601223,Dar es Salaam
36.11412175999999,0.14653565983398273,0.45396825396825397,-0.43655546050755634,Dar es Salaam
39.022856779999984,-0.01198501872659176,0.28513674197384065,-0.34361014420686226,Dar es Salaam
34.627283060000025,-0.21478743068391867,0.263360246059208,-0.2731499418829911,Dar es Salaam
33.30450932000002,-0.07822895159440238,0.604643222942984,-0.5851602023608768,Dar es Salaam
35.96031086000005,0.10998529171433241,0.2838283828382838,-0.3370979621900319,Dar es Salaam
35.74839362,0.24662292551138557,0.05971769815418024,-0.14285714285714285,Dar es Salaam
33.84797450000002,-0.06209150326797386,0.6487000634115409,-0.5834348355663824,Dar es Salaam
32.367971839999996,-0.07459608112753524,0.45632424877707894,-0.4151199637845179,Dar es Salaam
33.07892000000004,0.10095011876484561,0.5094715852442672,-0.5360162326682448,Dar es Salaam
37.89832820000004,0.060520891886827806,0.181989627534182,-0.21995133819951337,Dar es Salaam
33.74543390000002,0.014342058085335245,0.489569222432945,-0.4989094874591058,Dar es Salaam
