city,season,tod,slope_C_per_decade,r_squared,p_value
Dar es Salaam,dry,day,-1.2787620980399559,0.32779650263667676,0.3130841760803189
Dar es Salaam,dry,night,0.7723605114915089,0.9900965892941067,0.0004195283407863438
Dar es Salaam,wet,day,-1.8050070981007922,0.6586996000574559,0.09533976388475009
Dar es Salaam,wet,night,0.6912459271696519,0.7546151896272726,0.05598299936979599
Singapore,dry,day,-0.6337915098984723,0.27134811235513184,0.3681084452968331
Singapore,dry,night,0.6364820731421759,0.7940194433005153,0.04244076438594327
Singapore,wet,day,-1.2261769511917464,0.3936390791282012,0.2572081534357091
Singapore,wet,night,0.3804234136280393,0.5404917994370209,0.1569294832707087
